text,tokens
nyoka nyingi katika kisiwa hiki hawadhuru,"['nyoka', 'nyingi', 'kisiwa', 'hiki', 'hawadhuru']"
jiji liliharibiwa na nguvu ya kikatili ya asili,"['jiji', 'liliharibiwa', 'nguvu', 'kikatili', 'asili']"
je kuna makumbusho katika mji huu,"['je', 'kuna', 'makumbusho', 'mji', 'huu']"
masafa ya uhalifu mjini ni kubwa,"['masafa', 'uhalifu', 'mjini']"
mvulana huyu ana mwili thabiti na yenye afya,"['mvulana', 'huyu', 'ana', 'mwili', 'thabiti', 'yenye', 'afya']"
naita meli hii malkia elizabeth,"['naita', 'meli', 'hii', 'malkia', 'elizabeth']"
ongeza kolamu hii kwenye jedwali,"['ongeza', 'kolamu', 'hii', 'jedwali']"
kuna vitabu vingi vizuri maktabani,"['kuna', 'vitabu', 'vingi', 'vizuri', 'maktabani']"
mwanamke huyi alishuhudia ajali saa tisa za mchana leo,"['mwanamke', 'huyi', 'alishuhudia', 'ajali', 'saa', 'tisa', 'mchana', 'leo']"
tutahitaji wataamu wa ajira kupata mtu anayefaa kwa msimamo huu wa mtendaji,"['tutahitaji', 'wataamu', 'ajira', 'kupata', 'mtu', 'anayefaa', 'msimamo', 'huu', 'mtendaji']"
nikimaliza kuandika barua nitakupeleka kwenye ziwa umbali wa maili mbili zaidi ya kilima,"['nikimaliza', 'kuandika', 'barua', 'nitakupeleka', 'ziwa', 'umbali', 'maili', 'mbili', 'kilima']"
saa hii inagonga robo saa,"['saa', 'hii', 'inagonga', 'robo', 'saa']"
kazi hii inafanya madai makubwa kwa uwezo nguvu zetu za kihisia,"['kazi', 'hii', 'inafanya', 'madai', 'makubwa', 'uwezo', 'nguvu', 'zetu', 'kihisia']"
kulingana na gazeti hili mwigizaji wangu pendwa atamuoa mwanamuziki wa jazz msimu ujao,"['kulingana', 'gazeti', 'hili', 'mwigizaji', 'wangu', 'pendwa', 'atamuoa', 'mwanamuziki', 'jazz', 'msimu', 'ujao']"
natumahi ripoti hii ya gharama ina gharama zote muhimu za biashara kwa sababu sitalipa senti nyingine zaidi baada ya hii,"['natumahi', 'ripoti', 'hii', 'gharama', 'ina', 'gharama', 'zote', 'muhimu', 'biashara', 'sababu', 'sitalipa', 'senti', 'nyingine', 'hii']"
tafadhali ukubali msamaha wetu kwa tatizo ambalo jambo hili limesababisha,"['ukubali', 'msamaha', 'wetu', 'tatizo', 'ambalo', 'jambo', 'hili', 'limesababisha']"
mradi huu utahusisha wafanyakazi 50 waliopitia mafunzo,"['mradi', 'huu', 'utahusisha', 'wafanyakazi', '50', 'waliopitia', 'mafunzo']"
kanisa hili lilianzia karne ya 12,"['kanisa', 'hili', 'lilianzia', 'karne', '12']"
mchinjaji aliyeniuzia nyama hii ni rafiki kila wakati,"['mchinjaji', 'aliyeniuzia', 'nyama', 'hii', 'rafiki']"
sheria hii haitumiki kwa kesi hiyo,"['sheria', 'hii', 'haitumiki', 'kesi']"
mashine hii inajibu sauti ya mwanadamu,"['mashine', 'hii', 'inajibu', 'mwanadamu']"
ningependa kuchukua nafasi hii kuwashukuru nyote kwa ushirikiano wenu,"['ningependa', 'kuchukua', 'nafasi', 'hii', 'kuwashukuru', 'nyote', 'ushirikiano', 'wenu']"
dawati ni tofauti na nililoagiza,"['dawati', 'tofauti', 'nililoagiza']"
picha hii itathibishwa kuwa halisi,"['picha', 'hii', 'itathibishwa', 'halisi']"
nilihisi kama samaki nje ya maji katika kampuni hii,"['nilihisi', 'samaki', 'nje', 'maji', 'kampuni', 'hii']"
moto ulipunguza kijiji kizima kuwa majivu,"['moto', 'ulipunguza', 'kijiji', 'kizima', 'majivu']"
mwanasayansi huyo sio maarufu nchini japan tu bali pia katika nchi za nje,"['mwanasayansi', 'huyo', 'sio', 'maarufu', 'nchini', 'japan', 'bali', 'nchi', 'nje']"
kwa kighairi hiki kimoja si sawa kudhani kuwa utamaduni ulio rahisi pia una lugha rahisi,"['kighairi', 'hiki', 'kimoja', 'si', 'sawa', 'kudhani', 'utamaduni', 'ulio', 'rahisi', 'una', 'lugha', 'rahisi']"
je basi hili hufika kwenye kituo cha treni,"['je', 'hili', 'hufika', 'kituo', 'treni']"
mmiliki wa bar hii huwa hauzi pombe kwa deni,"['mmiliki', 'bar', 'hii', 'huwa', 'hauzi', 'pombe', 'deni']"
mada hii inapaswa kushughulikiwa kwa undani zaidi,"['mada', 'hii', 'inapaswa', 'kushughulikiwa', 'undani']"
chokoleti hii ni tamu sana na ina ladha,"['chokoleti', 'hii', 'tamu', 'ina', 'ladha']"
tairi hii inaonekana kuzeeka,"['tairi', 'hii', 'inaonekana', 'kuzeeka']"
ishara inasimamia nguvu na uadilifu,"['ishara', 'inasimamia', 'nguvu', 'uadilifu']"
usimimine maji ya moto kwenye glasi au itapasuka,"['usimimine', 'maji', 'moto', 'glasi', 'au', 'itapasuka']"
kioo kilianguka chini,"['kioo', 'kilianguka']"
huyu ni bi curtis,"['huyu', 'bi', 'curtis']"
hii ndio kituo cha runinga ambapo mjomba wangu hufanya kazi kama mtangazaji,"['hii', 'ndio', 'kituo', 'runinga', 'ambapo', 'mjomba', 'wangu', 'hufanya', 'kazi', 'mtangazaji']"
baina yetu anaendelea mpenzi wa kando,"['baina', 'yetu', 'anaendelea', 'mpenzi', 'kando']"
ni sawa popote unapojaribu na kutoroka kila mahali kuna safu ya kifo na kila mtu ni mwathirika,"['sawa', 'popote', 'unapojaribu', 'kutoroka', 'mahali', 'kuna', 'safu', 'kifo', 'mtu', 'mwathirika']"
inachukua muda gani kutoka hapa hadi stesheni,"['inachukua', 'gani', 'hapa', 'stesheni']"
gordon amekuwa na mawazo mengi wiki nzima,"['gordon', 'amekuwa', 'mawazo', 'mengi', 'wiki', 'nzima']"
ningependa viti viwe karibu na yadi hamsini kutoka kwa bustani,"['ningependa', 'viti', 'viwe', 'yadi', 'hamsini', 'bustani']"
kocha huyo aliwafanya wachezaji kukimbia maili tano kwa siku,"['kocha', 'huyo', 'aliwafanya', 'wachezaji', 'kukimbia', 'maili', 'tano', 'siku']"
kelly alisafisha koo lake na kuanza kuongea,"['kelly', 'alisafisha', 'koo', 'lake', 'kuanza', 'kuongea']"
rais kennedy aliuawa lakini hadithi yake itaishi milele,"['rais', 'kennedy', 'aliuawa', 'hadithi', 'itaishi', 'milele']"
ilikuwa hadi kay alipopokea yule doli ambapo aliacha kulia,"['kay', 'alipopokea', 'doli', 'ambapo', 'aliacha', 'kulia']"
mikopo ni kiasi au jumla iliyowekwa kuombwa na mtu mkopo wa benki,"['mikopo', 'kiasi', 'au', 'jumla', 'iliyowekwa', 'kuombwa', 'mtu', 'mkopo', 'benki']"
ni hatari kumwambia chris siri zako kwasababu atamwambia kila mtu,"['hatari', 'kumwambia', 'chris', 'siri', 'zako', 'kwasababu', 'atamwambia', 'mtu']"
chris aliajiriwa kupaka nyumba rangi na aliweza kupata pesa hizo,"['chris', 'aliajiriwa', 'kupaka', 'nyumba', 'rangi', 'aliweza', 'kupata', 'pesa', 'hizo']"
kofia ya cathy ilipeperushwa,"['kofia', 'cathy', 'ilipeperushwa']"
kitu kilimuumiza mtoto ngozi yake nyororo,"['kitu', 'kilimuumiza', 'mtoto', 'ngozi', 'nyororo']"
tabasamu la kim lilikuwa tamu sana,"['tabasamu', 'kim', 'lilikuwa', 'tamu']"
kucheza muziki wa nchi za magharibi kwenye gita ni vitu halisi vya watoto kwa mtaalamu wa kweli,"['kucheza', 'muziki', 'nchi', 'magharibi', 'gita', 'vitu', 'halisi', 'vya', 'watoto', 'mtaalamu', 'kweli']"
saratani inaweza kutibiwa kwa urahisi ikigunduliwa mapema,"['saratani', 'inaweza', 'kutibiwa', 'urahisi', 'ikigunduliwa', 'mapema']"
shika kitufe chini hadi usikie kifuniko kikitoa sauti ya kubonyeza,"['shika', 'kitufe', 'usikie', 'kifuniko', 'kikitoa', 'kubonyeza']"
kanisa katoliki linapinga talaka,"['kanisa', 'katoliki', 'linapinga', 'talaka']"
karamu za mapema jioni zinaweza kusinya,"['karamu', 'mapema', 'jioni', 'zinaweza', 'kusinya']"
ilinishangaza kusikia kwamba carl alikuwa akihamia ujerumani,"['ilinishangaza', 'kusikia', 'carl', 'akihamia', 'ujerumani']"
ilikuwa jana asubuhi nilimwona bwana carter,"['jana', 'asubuhi', 'nilimwona', 'bwana', 'carter']"
niwie radhi kwa kukukatiza  lakini unaweza kuifungua dirisha hii ,"['niwie', 'radhi', 'kukukatiza', 'unaweza', 'kuifungua', 'dirisha', 'hii']"
una mifuko yoyote ya kuangalia,"['una', 'mifuko', 'yoyote', 'kuangalia']"
urembo wako unanigeuza rangi,"['urembo', 'wako', 'unanigeuza', 'rangi']"
tafadhari njia ni hii dada,"['tafadhari', 'njia', 'hii', 'dada']"
mgeni amekwenda dakika tano kabla ya hujarudi,"['mgeni', 'amekwenda', 'dakika', 'tano', 'kabla', 'hujarudi']"
hadithi nyingi za kuchekesha zimeundwa kutokana na hali za ucheshi,"['hadithi', 'nyingi', 'kuchekesha', 'zimeundwa', 'kutokana', 'hali', 'ucheshi']"
mwanaume ambaye karibu azame alianza kupumua,"['mwanaume', 'ambaye', 'azame', 'alianza', 'kupumua']"
opera unaanza saa saba,"['opera', 'unaanza', 'saa', 'saba']"
sauti ya mtoto wa kiume aliyeogopa ilitetema kwa hofu,"['mtoto', 'kiume', 'aliyeogopa', 'ilitetema', 'hofu']"
tulipomtembelea shangazi tulifurahia karamu nzuri sana,"['tulipomtembelea', 'shangazi', 'tulifurahia', 'karamu', 'nzuri']"
nyanya yangu alijeruhi mguu wake alipoanguka,"['nyanya', 'alijeruhi', 'mguu', 'alipoanguka']"
samahani unaweza kuniinulia sanduku tafadhali,"['samahani', 'unaweza', 'kuniinulia', 'sanduku']"
mjomba wangu alistaafu kutoka kuwa mwalimu mwaka jana lakini bado anshikilia cheo katika chuo kikuu,"['mjomba', 'wangu', 'alistaafu', 'mwalimu', 'mwaka', 'jana', 'bado', 'anshikilia', 'cheo', 'chuo', 'kikuu']"
amy alifanyakazi uwanjani jumamosi iliyopita,"['amy', 'alifanyakazi', 'uwanjani', 'jumamosi', 'iliyopita']"
hiyo inaonekana kama aina ya mtu ambaye angenunulia bidhaa nyingi za wabunifu teeheehee,"['inaonekana', 'aina', 'mtu', 'ambaye', 'angenunulia', 'bidhaa', 'nyingi', 'wabunifu', 'teeheehee']"
yuko ndani ya pesa,"['yuko', 'pesa']"
katibu wa bw wood alimwandikia barua zake,"['katibu', 'bw', 'wood', 'alimwandikia', 'barua']"
bwana wood alifika mlangoni na kuzungumza na mama ya tony,"['bwana', 'wood', 'alifika', 'mlangoni', 'kuzungumza', 'mama', 'tony']"
huko india ngombe ni mnyama takatifu,"['huko', 'india', 'ngombe', 'mnyama', 'takatifu']"
intanet inasaidia sana watu kujua mazingira ya kila sehemu ya dunia,"['intanet', 'inasaidia', 'kujua', 'mazingira', 'sehemu', 'dunia']"
samahani sana kwa kile nilichofanya natamani hata nianguke kwenye shimo na kufa kabisa,"['samahani', 'kile', 'nilichofanya', 'natamani', 'nianguke', 'shimo', 'kufa', 'kabisa']"
siku njema iliyoje hii ndio maana ya hali ya hewa nzuri unayopata baada ya dhoruba,"['siku', 'njema', 'iliyoje', 'hii', 'ndio', 'maana', 'hali', 'hewa', 'nzuri', 'unayopata', 'dhoruba']"
ni wakati upi mwafaka wa kukuchukua,"['upi', 'mwafaka', 'kukuchukua']"
kuzunguka tu inaweza kuwa njia nzuri ya kusafiri,"['kuzunguka', 'inaweza', 'njia', 'nzuri', 'kusafiri']"
hakuna nchi inapaswa kuingilia mambo ya ndani ya nchi nyingine,"['hakuna', 'nchi', 'inapaswa', 'kuingilia', 'mambo', 'nchi', 'nyingine']"
tuna habari nzuri,"['tuna', 'habari', 'nzuri']"
hapana tafadhali bonyeza tisa kwanza,"['hapana', 'bonyeza', 'tisa', 'kwanza']"
anne amekubali ombi la henry,"['anne', 'amekubali', 'ombi', 'henry']"
nadhani ann anampenda jack,"['nadhani', 'ann', 'anampenda', 'jack']"
jumapili moja asubuhi george aliingia sebuleni na kusema yafuatayo,"['jumapili', 'asubuhi', 'george', 'aliingia', 'sebuleni', 'kusema', 'yafuatayo']"
siku moja mike na jane walikwenda jijini kwa ununuzi,"['siku', 'mike', 'jane', 'walikwenda', 'jijini', 'ununuzi']"
mwanamke alipoteza leseni yake ya udereva alipokuwa akinunua bidhaa juzi kwenye duka la idara,"['mwanamke', 'alipoteza', 'leseni', 'udereva', 'alipokuwa', 'akinunua', 'bidhaa', 'juzi', 'duka', 'idara']"
albert anajihusisha na biashara ya nje na mara nyingi huenda nje ya nchi,"['albert', 'anajihusisha', 'biashara', 'nje', 'nyingi', 'huenda', 'nje', 'nchi']"
wamarekani wanalipa ushuru wa jimbo na serikali,"['wamarekani', 'wanalipa', 'ushuru', 'jimbo', 'serikali']"
amerika inaonekana kuwa ilikumbana na shida kati ya mataifa matatu huko asia,"['amerika', 'inaonekana', 'ilikumbana', 'shida', 'kati', 'mataifa', 'matatu', 'huko', 'asia']"
katika soka la amerika ulinzi una kazi fulani,"['soka', 'amerika', 'ulinzi', 'una', 'kazi', 'fulani']"
katika mfumo wa haki wa amerika kuna watu kumi na wawili kwenye benchi,"['mfumo', 'haki', 'amerika', 'kuna', 'kumi', 'wawili', 'benchi']"
huko amerika ni maarufu kwa wasichana kujifunza kuruka kamba,"['huko', 'amerika', 'maarufu', 'wasichana', 'kujifunza', 'kuruka', 'kamba']"
wakati shule zingine za kibinafsi na za kanisa huko amerika zina sare sio kawaida,"['shule', 'zingine', 'kibinafsi', 'kanisa', 'huko', 'amerika', 'zina', 'sare', 'sio', 'kawaida']"
alikuwa ni mtu wa mwisho nilitarajia kumwona leo,"['mtu', 'mwisho', 'nilitarajia', 'kumwona', 'leo']"
duka hilo huuza bidhaa kadhaa,"['duka', 'hilo', 'huuza', 'bidhaa', 'kadhaa']"
duka hilo huuza vitu vingi zaidi ya fanicha,"['duka', 'hilo', 'huuza', 'vitu', 'vingi', 'fanicha']"
jengo ambalo paa lake ni kahawia ni kanisa,"['jengo', 'ambalo', 'paa', 'lake', 'kahawia', 'kanisa']"
tazama mawingu yale meusi,"['tazama', 'mawingu', 'yale', 'meusi']"
kwamba thieta ina tamasha ya filamu ya kigeni kila mwezi,"['thieta', 'ina', 'tamasha', 'filamu', 'kigeni', 'mwezi']"
wanawasha p kwenye thieta,"['wanawasha', 'p', 'thieta']"
suti za wanaume zinauzwa wiki hii katika duka hilo la idara,"['suti', 'wanaume', 'zinauzwa', 'wiki', 'hii', 'duka', 'hilo', 'idara']"
mtu huyo wa mauzo anaonekana mzuri sana,"['mtu', 'huyo', 'mauzo', 'anaonekana', 'mzuri']"
matangazo hayp ya biashara huleta hisia kali  hasusna muziki inakaa kichwani mwako,"['matangazo', 'hayp', 'biashara', 'huleta', 'hisia', 'kali', 'hasusna', 'muziki', 'inakaa', 'kichwani', 'mwako']"
je unajua msichana huyo mrembo aliye na rangi ya hudhurungi na nguo ya kibichi ni nani,"['je', 'unajua', 'msichana', 'huyo', 'mrembo', 'aliye', 'rangi', 'hudhurungi', 'nguo', 'kibichi', 'nani']"
mauhusiano kati ya hao watu watano ni magumu,"['mauhusiano', 'kati', 'hao', 'watano', 'magumu']"
je ulienda kwa tafrija ya ming jumamosi,"['je', 'ulienda', 'tafrija', 'ming', 'jumamosi']"
hujawahi kwenda pari,"['hujawahi', 'pari']"
mizigo yako inapaswa kufika ndani ya masaa ishirini na nne,"['mizigo', 'yako', 'inapaswa', 'kufika', 'masaa', 'ishirini', 'nne']"
hauwezi kufikiria unaweza,"['hauwezi', 'kufikiria', 'unaweza']"
ikiwa unatenda kama mjinga lazima uchukuliwe kama vile,"['ikiwa', 'unatenda', 'mjinga', 'lazima', 'uchukuliwe']"
bwana adams alikuwa mjinga kukubali lile pendekezo,"['bwana', 'adams', 'mjinga', 'kukubali', 'lile', 'pendekezo']"
ninafanya juhudi ili nilihepe duka lile,"['ninafanya', 'juhudi', 'nilihepe', 'duka', 'lile']"
ailandi na uiengereza zimetenganishwa na bahari,"['ailandi', 'uiengereza', 'zimetenganishwa', 'bahari']"
ouch mguu wangu,"['ouch', 'mguu', 'wangu']"
oh tosti umechomeka kuwa nyeusi,"['oh', 'tosti', 'umechomeka', 'nyeusi']"
je unaweza kuwahakikishia utoaji kufikia agosti 15,"['je', 'unaweza', 'kuwahakikishia', 'utoaji', 'kufikia', 'agosti', '15']"
asante kwa barua yako ya julai 25 na mfano wa kitambaa,"['asante', 'barua', 'yako', 'julai', '25', 'mfano', 'kitambaa']"
baada ya kupanda kwa takribani masaa sita hatimaye tulifanikiwa kufikia kilele cha mlima,"['kupanda', 'takribani', 'masaa', 'sita', 'hatimaye', 'tulifanikiwa', 'kufikia', 'kilele', 'mlima']"
basi langu kutoka uwanjani wa ndege linaondoka saa kumi na mbili,"['langu', 'uwanjani', 'ndege', 'linaondoka', 'saa', 'kumi', 'mbili']"
nyota ya tatu ilikuwa ya mfalme fulani,"['nyota', 'tatu', 'mfalme', 'fulani']"
mwezi wa machi upo kati ya februari na aprili,"['mwezi', 'machi', 'upo', 'kati', 'februari', 'aprili']"
upenyo uliokuwepo kati ya nyumba mbili uliharibiwa na barafu,"['upenyo', 'uliokuwepo', 'kati', 'nyumba', 'mbili', 'uliharibiwa', 'barafu']"
tunayo vyumba viwili vya akiba lakini hakuna kati hivo viwili hakuna kilichotumiwa kwa miaka,"['tunayo', 'vyumba', 'viwili', 'vya', 'akiba', 'hakuna', 'kati', 'hivo', 'viwili', 'hakuna', 'kilichotumiwa', 'miaka']"
fupisha kifungu hiki kwa maneno yasiyozidi 200,"['fupisha', 'kifungu', 'hiki', 'maneno', 'yasiyozidi', '200']"
tutatoa ajenda ya mwisho asubuhi ya jumatatu januari 20 kwa hivyo tafadhali jibu haraka,"['tutatoa', 'ajenda', 'mwisho', 'asubuhi', 'jumatatu', 'januari', '20', 'jibu', 'haraka']"
dola ni sawa na senti mia,"['dola', 'sawa', 'senti', 'mia']"
wakati wa unyogovu miaka ya 1930 watu wengi matajiri walipoteza kila kitu kwenye soko la hisa,"['unyogovu', 'miaka', '1930', 'wengi', 'matajiri', 'walipoteza', 'kitu', 'soko', 'hisa']"
mnamo 1860 lincoln alichaguliwa kuwa rais wa amerika,"['mnamo', '1860', 'lincoln', 'alichaguliwa', 'rais', 'amerika']"
mwaka wa 1853 perry aliuliza japan ifungulie marekani mlango,"['mwaka', '1853', 'perry', 'aliuliza', 'japan', 'ifungulie', 'marekani', 'mlango']"
mwaka 1603 mfalme james wa kwanza alipoingia madarakani mpira wa miguu uliruhusiwa tena,"['mwaka', '1603', 'mfalme', 'james', 'kwanza', 'alipoingia', 'madarakani', 'mpira', 'miguu', 'uliruhusiwa']"
lazima tuondoke hotelini kabla ya saa 10 asubuhi vinginevyo tutakosa treni ya miami,"['lazima', 'tuondoke', 'hotelini', 'kabla', 'saa', '10', 'asubuhi', 'vinginevyo', 'tutakosa', 'treni', 'miami']"
ukungu ulianza kutoweka karibu saa kumi,"['ukungu', 'ulianza', 'kutoweka', 'saa', 'kumi']"
je unaweza kuniazima senti kumi,"['je', 'unaweza', 'kuniazima', 'senti', 'kumi']"
maneno mrembo na mbaya ni maneno ya kawaida,"['maneno', 'mrembo', 'mbaya', 'maneno', 'kawaida']"
habari yako leo vizuri asante,"['habari', 'yako', 'leo', 'vizuri', 'asante']"
unamaanisha nini ukisema uhusiano,"['unamaanisha', 'ukisema', 'uhusiano']"
sasa umeanza kujizoesha mienendo ya kampuni,"['umeanza', 'kujizoesha', 'mienendo', 'kampuni']"
kwa kusaini mkataba nilijitolea kufanya kazi huko kwa miaka mingine mitano,"['kusaini', 'mkataba', 'nilijitolea', 'kufanya', 'kazi', 'huko', 'miaka', 'mingine', 'mitano']"
asante kwa huu mswada wa makubaliano,"['asante', 'huu', 'mswada', 'makubaliano']"
polisi wanachunguza sababu ya ajali hiyo saa nzima,"['polisi', 'wanachunguza', 'sababu', 'ajali', 'saa', 'nzima']"
polisi walivunja mapigano,"['polisi', 'walivunja', 'mapigano']"
polisi wanachunguza kisababishi cha ajali,"['polisi', 'wanachunguza', 'kisababishi', 'ajali']"
katika ukumbi kathy alibadilisha viti na mamake,"['ukumbi', 'kathy', 'alibadilisha', 'viti', 'mamake']"
piga huh,"['piga', 'huh']"
yeye si mtu mzuri wa kushirikiana naye,"['si', 'mtu', 'mzuri', 'kushirikiana']"
kikombe cha dhahabu kilipewa mshindi wa mechi ya fainali,"['kikombe', 'dhahabu', 'kilipewa', 'mshindi', 'mechi', 'fainali']"
tafadhali pokea zawadi hii ya kusherehekea harusi yako,"['pokea', 'zawadi', 'hii', 'kusherehekea', 'harusi', 'yako']"
mifumo ya maisha ya ndoa inabadilika sana,"['mifumo', 'maisha', 'ndoa', 'inabadilika']"
afya ni jambo muhimu kwa furaha,"['afya', 'jambo', 'muhimu', 'furaha']"
mimi siko mmoja wa mbwa waoga,"['siko', 'mbwa', 'waoga']"
mbwa alipokosa kunifikia alianza kubweka,"['mbwa', 'alipokosa', 'kunifikia', 'alianza', 'kubweka']"
mbwa akaketi karibu na mtu,"['mbwa', 'akaketi', 'mtu']"
mafunzo huwafanya wafanyakazi kukabiliana na dharura haraka,"['mafunzo', 'huwafanya', 'wafanyakazi', 'kukabiliana', 'dharura', 'haraka']"
silika inahisi laini,"['silika', 'inahisi', 'laini']"
hatuwezi kuwa waangalifu sana katika kuendesha kiwanda cha nguvu za nyuklia,"['hatuwezi', 'waangalifu', 'kuendesha', 'kiwanda', 'nguvu', 'nyuklia']"
hivi sasa tuna ofisi 200 za mauzo zenye utaratibu mzuri kote nchini japan,"['hivi', 'tuna', 'ofisi', '200', 'mauzo', 'zenye', 'utaratibu', 'mzuri', 'kote', 'nchini', 'japan']"
msaada wa kibinafsi ni mdogo mno,"['msaada', 'kibinafsi', 'mno']"
asante kwa kulainisha mambo,"['asante', 'kulainisha', 'mambo']"
muendeshaji huyo aliniambia ni kate simu nisubiri kidogo,"['muendeshaji', 'huyo', 'aliniambia', 'kate', 'simu', 'nisubiri', 'kidogo']"
ndege walikula mende wakiachiana,"['ndege', 'walikula', 'mende', 'wakiachiana']"
tunapaswa kutofautisha kati ya mambo ya umma na ya kibinafsi,"['tunapaswa', 'kutofautisha', 'kati', 'mambo', 'umma', 'kibinafsi']"
shirika lina hela nyingi kwenye akaunti hii,"['shirika', 'lina', 'hela', 'nyingi', 'akaunti', 'hii']"
mashambulizi ni aina bora ya utetezi,"['mashambulizi', 'aina', 'bora', 'utetezi']"
ili kufanya mambo kuwa mabaya zaidi ilianza kunyesha sana,"['kufanya', 'mambo', 'mabaya', 'ilianza', 'kunyesha']"
nilipewa chaguo la chai au kahawa,"['nilipewa', 'chaguo', 'chai', 'au', 'kahawa']"
jaribu usitoe kauli za kiholela,"['jaribu', 'usitoe', 'kauli', 'kiholela']"
utaweka alama ya kikomo kabla ya majina ya wanafunzi waliofanikiwa,"['utaweka', 'alama', 'kikomo', 'kabla', 'majina', 'wanafunzi', 'waliofanikiwa']"
mateso hayo yalimfanya akiri makosa ambayo hakufanya,"['mateso', 'hayo', 'yalimfanya', 'akiri', 'makosa', 'ambayo', 'hakufanya']"
ninakupongeza kwa kupita mtihani wa serikali,"['ninakupongeza', 'kupita', 'mtihani', 'serikali']"
umoja wa mataifa hufanya juhudi kuweka dunia katika hali ya amani,"['umoja', 'mataifa', 'hufanya', 'juhudi', 'kuweka', 'dunia', 'hali', 'amani']"
niliweka kando minyororo yangu,"['niliweka', 'kando', 'minyororo']"
nitakubaliana nawe mara moja tu,"['nitakubaliana', 'nawe']"
nitakuwa nimeenda new york mara mbili sasa,"['nitakuwa', 'nimeenda', 'new', 'york', 'mbili']"
umefanya bidii asubuhi ya leo simon,"['umefanya', 'bidii', 'asubuhi', 'leo', 'simon']"
ulimwona kwenye kituo asubuhi ya leo,"['ulimwona', 'kituo', 'asubuhi', 'leo']"
nitakuwa nimejiunga na ski tour mara tanoi nikijiunga nao tena,"['nitakuwa', 'nimejiunga', 'ski', 'tour', 'tanoi', 'nikijiunga', 'nao']"
tutaweka kilima karibu na shule yetu jumapili hii,"['tutaweka', 'kilima', 'shule', 'yetu', 'jumapili', 'hii']"
leo watu zaidi na zaidi wanabadilisha kazi ili kupata mshahara bora na hadhi ya juu katika kijamii,"['leo', 'wanabadilisha', 'kazi', 'kupata', 'mshahara', 'bora', 'hadhi', 'kijamii']"
siku hizi kuna uhusiano wa karibu kati ya uhusiano wa nje na mambo ya ndani,"['siku', 'hizi', 'kuna', 'uhusiano', 'kati', 'uhusiano', 'nje', 'mambo']"
siku hizi bado kuna makundi machache ya watu katika sehemu tofauti ulimwenguni ambao hawana nyumba za kudumu,"['siku', 'hizi', 'bado', 'kuna', 'makundi', 'machache', 'sehemu', 'tofauti', 'ulimwenguni', 'ambao', 'hawana', 'nyumba', 'kudumu']"
kutokana na gazeti la leo asubuhi mhalifu aliyeshutumiwa alijiua,"['kutokana', 'gazeti', 'leo', 'asubuhi', 'mhalifu', 'aliyeshutumiwa', 'alijiua']"
leo janijipya limeota tawi,"['leo', 'janijipya', 'limeota', 'tawi']"
nimealikwa kwenye sherehe ya claudia itakayofanyika usiku,"['nimealikwa', 'sherehe', 'claudia', 'itakayofanyika', 'usiku']"
katika treni iliyojaa watu ninaifanya kuwa sheria kutoa kiti changu kwa wazee,"['treni', 'iliyojaa', 'ninaifanya', 'sheria', 'kutoa', 'kiti', 'changu', 'wazee']"
rafiki na adui mbaya zaidi ni kifo,"['rafiki', 'adui', 'mbaya', 'kifo']"
majuzi mahitaji ya bidhaa hii yameongezeka haraka kuliko usambazaji,"['majuzi', 'mahitaji', 'bidhaa', 'hii', 'yameongezeka', 'haraka', 'kuliko', 'usambazaji']"
vitabu viwili vimeibuka kati ya dazeni zilizochapishwa hivi karibuni kuhusu familia ya kifalme,"['vitabu', 'viwili', 'vimeibuka', 'kati', 'dazeni', 'zilizochapishwa', 'hivi', 'karibuni', 'kuhusu', 'familia', 'kifalme']"
wanafunzi wakubwa huenda maktabnia wikendi,"['wanafunzi', 'wakubwa', 'huenda', 'maktabnia', 'wikendi']"
mtazamo wa mahakama kwa wahalifu wachanga ni tofauti na mtazamo wake kwa wahalifu watu wazima,"['mtazamo', 'mahakama', 'wahalifu', 'wachanga', 'tofauti', 'mtazamo', 'wahalifu', 'wazima']"
jana nilimwandikie ellen,"['jana', 'nilimwandikie', 'ellen']"
hafla ya kuaga ilifanyika kwa heshima ya bwana jones jana,"['hafla', 'kuaga', 'ilifanyika', 'heshima', 'bwana', 'jones', 'jana']"
faida kwenye tarakilishi za mwaka uliopita zilikuwa karibu asilimia kumi kuliko mwaka huu,"['faida', 'tarakilishi', 'mwaka', 'uliopita', 'zilikuwa', 'asilimia', 'kumi', 'kuliko', 'mwaka', 'huu']"
salmoni huenda juu ya mto na kuweka mayai yao kwenye mchanga,"['salmoni', 'huenda', 'mto', 'kuweka', 'mayai', 'mchanga']"
muuaji hivi karibuni atakiri uhalifu wake,"['muuaji', 'hivi', 'karibuni', 'atakiri', 'uhalifu']"
kwa bahati mbaya hoteli ambayo umependekeza imejaa,"['bahati', 'mbaya', 'hoteli', 'ambayo', 'umependekeza', 'imejaa']"
weka maoni yako pamoja kabla ya kuanza kazi yako,"['weka', 'maoni', 'yako', 'kabla', 'kuanza', 'kazi', 'yako']"
mhudumu alitangaza bw na bi smith,"['mhudumu', 'alitangaza', 'bw', 'bi', 'smith']"
dada yangu anafanya kazi katika ubalozi wa amerika huko london,"['dada', 'anafanya', 'kazi', 'ubalozi', 'amerika', 'huko', 'london']"
