text,labels
Hakika yeye ni mwenye bahati kubwa.,negative
utendaji wake kama alivyo tuzwa ilikuwa ya kushangaza,positive
linapata simu yangu ya mkononi mara tu niingiapo ndani ya gari,positive
Ninaamini kwamba weusi wa rangi ya waridi ulifanywa vizuri,positive
ninapendekeza kabisa,positive
ni nzuri tu,positive
hii ni simu nzuri,positive
yani nahisi mapenzi hadi kwa miguu naipenda ngoma 2019,positive
maonyesho ya sam shepard ya baharini ya mashoga yalikuwa mazito,positive
Mwanzoni tovuti za eneo hilo katika filamu iliyopigwa picha hapa katika nyati zilinivutia,positive
hata vibonyezo viweje sana hivi kwamba nyakati nyingine mimi hufikia vifungo visivyofaa,negative
Siwezi kudumisha uhusiano na kompyuta wakati inapokuwa pajani mwangu,negative
Haionekani mbali sana kama america,negative
Ilikuwa wazi kwamba alikuwa na uwezo na uwezo wa kung'oa sehemu hiyo,positive
Niliweka maelezo zaidi chini ya simu ya kijivu au nyeusi lakini mimi nina ile nyekundu na rangi yake kubwa,positive
kwa ajili ya bidhaa inayogharimu kama hii inavyotazamiwa kufanya kazi vizuri zaidi na kwa urahisi zaidi kuliko ilivyo kwa jambo hili,negative
bidhaa nzuri ya kuuzwa,positive
Na hicho ni kipimo kidogo.,positive
Lilikuwa lenye shughuli nyingi sana na sasa twajua ni kwa nini,negative
sasa hii ni filamu ichukiayo kweli kweli,negative
Mvulana wa basi kwa upande mwingine alikuwa mjeuri sana,negative
filamu hiyo inatupa maana ya maneno ambayo hayajawahi kamwe katika historia ya mapambano ya wanadamu yame deni kubwa sana kwa watu wengi kwa wachache sana,positive
Huyo maskani yake yatakuwa Moto wa Hawiya!,positive
Hapana cha kukanusha kutukia kwake.,negative
Laiti ungekula chakula cha shirika la ndege kwa uzito,negative
nimefurahiya sana ununuzi wangu,positive
Kifaa chenye kutisha,positive
Ni mara chache mtengeneza filamu anapochukua wakati kueleza hadithi ya maadili yenye kuheshimika kwa uangalifu na upendo ambayo haianguki katika mtego wa kuwa mwenye shoga kupita kiasi au mwenye anasa kupita kiasi,positive
Najua kwamba jam okonor alikuwa mwenye nguvu sana na kwamba hakuna mtu ambaye angeweza kuwa kama yeye ila gegee hakuwa na furaha,negative
kitu kilichopokewa kilikuwa bandia,negative
filamu hiyo ilionyesha vitu vingi vinavyoweza kuonekana kuwa vinavutia,positive
baada ya shtaka la kwanza kuendelea kufa baada ya dakika 12,negative
Kati ya vyakula vyote ambavyo samoni walikula kulikuwa bora zaidi lakini vyote vilikuwa vikubwa,positive
haifaulu,negative
Hii ni bidhaa kubwa ambayo bila shaka hupiga kwa kutumia vidole vyako,positive
Kutozungumza vizuri wakati unapofanya mazoezi,negative
nikiwa raia wa European filamu hiyo ni kikwazo kizuri kwa wakati wangu nikiwa mwanafunzi katika miaka ya 1980 na mambo yaliyoonwa niliyokuwa nikiishi ng'ambo na kuchangamana na mataifa mengine ingawa hali zilikuwa tofauti kidogo,positive
sehemu pekee inayofaidi filamu hii iko katika takataka,negative
Simu hii yaweza kuwa ndiyo simu mbaya zaidi iliyowahi kuwa nayo katika aina yoyote ile,negative
Hapa ndipo mahali ninapopaona vegas mpya,positive
"Na ikiwa unajikurupusha nao, nawe unatafuta chakula cha kutosha. Na huko ndiko kufuzu kulio wazi.",negative
"baada ya simu yangu kuwa na umri wa karibu mwaka mmoja, ilikuwa ikikatika polepole licha ya utunzaji mwingi kwa upande wangu",negative
na ubora wa sauti ni nzuri,positive
Ambaye hutoa mali yake kwa ajili ya kujitakasa.,positive
kile kilichonifanya niwe na mawazo ya kupata takataka hii isiyo na maana yoyote,negative
sikuzote kifaa huwa chenye kutumbuiza kama kawaida,positive
Huyo maskani yake yatakuwa Moto wa Hawiya!,positive
sinema hiyo ni ndefu mno,negative
karibu saa 4 jioni niliinunua saa 8 jioni nilianza kuitazama karibu saa 815 jioni nikasambaza haraka filamu iliyobaki ili kuona ikiwa kuna kitu chochote kilichobaki cha kutazamwa kwa mwanadamu aliye na ubongo lakini hakukuwa,negative
Sauti ya chini yenye matope na kibweta kilichozungushwa na waya kilikuwa na nguvu nyingi sana na kiliteleza,negative
Hebu wazia filamu hiyo ikiwa kama ndoto,positive
Wala sikwambiini kuwa mimi ni Malaika.,negative
sinema hii ni mbaya sana,negative
Sasa ninakasirika na ninataka davin pho,negative
Kuweka kando kadi ya mashindano ya mbio acheni kutazama kasoro kubwa katika sinema wanayoharibu latifas,negative
kwa muhtasari hili lilikuwa ono la ulaji lenye kukatisha tamaa sana,negative
Na bundi hao wachanga walikuwa wenye kupendeza,positive
Basi usiende huko ikiwa unatafuta chakula kizuri,negative
tisa kati ya kumi kwa ajili ya filamu yenye kupendeza kwelikweli,positive
lakini filamu hii inaacha maoni ya kudumu,positive
halina uhakika kabisa jinsi mbwa - mwitu mwenye joto jingi zaidi katika bonde hilo alivyochaguliwa na wasomaji wa gazeti la phoenix,negative
Bidhaa hiyo ilikuwa na harufu kali ya mpira wa mpira wa rangi ambayo haikuvumilika baada ya muda fulani na ikanifanya niirudishe,negative
Pia kuna vichana kama makari na bia kwa ajili ya 23 ambavyo ni vya hali ya juu,positive
Za kijani kibivu.,positive
walakini paul schrader kwa kweli ametoa filamu kuhusu mishima ambayo ni nzuri sana na ngumu,positive
Mtu akiagiza taco mbili usifikiri huenda ikawa ni sehemu ya utumishi wa wateja kuuliza kama ni kichana au mkokoteni,negative
Yamejaa herufi zisizosadikisha ambazo zitaandikwa kwa ustadi na edward vodorov ambaye pia alitokeza na kwa kushangaza anaelekezwa na ean negulesco ambaye angetarajia kupata faida kubwa zaidi kutoka kwake,negative
kitu kibaya zaidi kuliko uigizaji wa taylor ilikuwa kuimba kwa stanwyck,negative
sinema yaonekana kuwa ya bei rahisi na ya bland,negative
hiyo ni kazi nzuri,positive
labda ingekuwa bora ikiwa mkurugenzi hangetumia wakati mwingi wa sinema kuonyesha kazi yake mwenyewe ya sanaa ambayo sio ya kushangaza sana,negative
Niliipata kwa sababu ilikuwa ndogo sana na yenye kupendeza,positive
kwenda kwa ajili ya utumishi wa chakula cha mchana ilikuwa ya polepole,negative
Shukrani za pekee kwa dylan t kwa pendekezo la kile cha kuagiza yummy yote kwa ajili yatummy yangu,positive
caraccio ya manjano iliyeyuka mdomoni mwako ikiwa safi,positive
Mkate wao uliochomwa kwa ukawaida ulitosheleza vilevile mapindo ya siagi mara kwa mara,positive
bidhaa ilikuwa bora na inafanya kazi vizuri kuliko ya verizon na bei ilikuwa rahisi,positive
Si ghali na yeye huhisi na kuonekana kuwa wa bei ya chini,negative
Nimesoma makala nyingine hapa lakini mimi mwenyewe nimekuwa na tatizo lolote kuihusu,positive
"Bila shaka, kuna faida kubwa kutoka kwenye nguo hiyo kwa ajili ya tumbo la nguruwe watakaporudi tena ndani ya vegas",positive
Labda uchaguzi ndio uliokuwa mbaya zaidi kuwahi kuonekana katika vegagasout,negative
krussel sikuzote ni nzuri,positive
Haukuacha chochote ulicho kifikia ila ulikifanya kama kilio nyambuka.,negative
Waandishi walikuwa wakipigwa na na ninafikiri waigizaji na waigizaji bora zaidi walikuwa ni nyongeza kwa wahusika hawa wa kipindi hicho walikuwa halisi sana,positive
mwandiko huonekana kana kwamba ni hati ya mkono tu iliyoandikwa na ufyatuaji risasi ukaanza kabla ya hati iliyomalizika kukamilishwa,negative
bado nawapenda wote,positive
Kwa ujumla sinema hii ilikuwa takataka ya bei ya chini,negative
ilikuwa yenye kuchosha sana,negative
Jambo bora zaidi ni sehemu inayozunguka ambayo inasaidia sana,positive
""" Wanyang'anyi "" wa ajabu",negative
lakini sinema hii si ya kuchekesha kwa kufikiria upumbavu wake,negative
huonekana kutengeneza hasa betri ya awali kutoka kwenye kidevu kilichokuja na  v325i yangu,positive
Ninapenda sana sehemu ya nyuma ya barabara lakini hajawahi kamwe kumwona katika filamu hii,negative
habari za wema hapa bongo5 zimekuwa zikipata hits kusomwa zaidi kuliko habari yoyote ya staa yoyote yule unayemjua hapa tanzania,positive
athari maalum za kuvutia siwezi kupendekeza sinema hii ya kutosha,positive
"Hata ikiwa unapenda sinema mbaya, usiitazame sinema hiyo",negative
Hivi ndivyo tulivyo waamrisha mara mbili.,positive
Tulipenda biskuti,positive
simu ilianguka kabisa na sasa ni lazima ichukue mahali payo,negative
siji,negative
haidumu kwa muda mrefu,negative
unaweza kupata sinema bora kwenye youtube,negative
wangeweza kuuandaa kwa kutumia kikorongo tu na huenda kikafanyiza mlo bora zaidi lakini bado ulikuwa mzuri sana,positive
Kusimamia ni utovu wa adabu,negative
kwa habari ya utumishi ambao niliufikiri ulikuwa mzuri,positive
si jambo la maana hata kidogo kufanya hivyo,negative
ifahamike sana kwamba filamu hii ingepokea tuzo na tuzo nyingi sana hasa wakati ambapo kuna filamu zenye kustahili zaidi huko,negative
si jambo zuri kwa upande wowote wa kuwazia,negative
Zote nafikiri zilikuwa kitega - uchumi kizuri,positive
kuna hata hivyo kaimu mzuri kabisa angalau kwa aina hii ya filamu,positive
wamiliki wa duka hilo kwa kweli wanahitaji kuacha kuwa wanoooooboo kwa bei rahisi na wafungie kipande changu cha mbao katika karatasi mbili si kimoja,negative
Supu za taa zajulikana sana,positive
simu hii inajaribu sana kufanya kila kitu lakini inashindwa kwa uwezo wake wa kuwa simu,negative
ya kwanza kabisa haivai vizuri,negative
haitapendekeza kwa wengine,negative
Tabia nzuri ya ajabu ina nguvu sana na inambidi tu kumtazama kwa haraka na kuelewa kila kitu,positive
Zafaa,positive
hii inamaanisha kwa njia mbaya sana,negative
siwezi kufikiria filamu nyingine ambayo kitu muhimu sana kinatokea kila dakika nyingine,positive
Nilivutiwa sana na bei ya kesi hizo,positive
nunua simu tofauti lakini sio hii,negative
wahusika wote kwenye filamu hii wamechezwa vizuri sana,positive
ilifafanuliwa vyema,positive
Ilikuwa zaidi au chini ya kiasi cha ziada ambacho ninavaa hapo awali lakini baadaye kilitupwa kwa sababu kilikwaruza sikio langu,negative
Ningekipendekeza,positive
si rahisi kutizama,negative
bado napenda sinema hii kwa uwezeshaji wa wanawake hakuna sinema za kutosha huko nje kama hii,positive
Mwendeshaji alifika ndani ya fremu ya wakati iliyoahidiwa lakini haikufanya kazi,negative
Hii ni sinema isiyovutia kuhusu mwandishi anayeishi katika utamaduni wenye baridi kali,negative
Nitaendelea kuja hapa usiku wa wanawake na pia usiku wa tarehe ambao umepitwa na wakati kwa kiasi kikubwa kupendekeza mahali hapa kwa yeyote aliye katika eneo hilo,positive
Nilifurahia sana kula hapa,positive
uwepo wake kwenye skrini uliangaza mawazo hata kama kulikuwa na watendaji wengine wakuu kwenye skrini na yeye,negative
Sikufikiri kwamba maagizo yaliyotolewa yalinisaidia,negative
oh yeah na picha hiyo ilikuwa ya kusikitisha pia,negative
linapiga picha tu kwenye sinema yenye baridi wakati mhusika mkuu anapoona chumba chake kimelipuliwa,positive
hufanya kazi,positive
Siwezi kuamini kabisa kwamba mwenyewe ana wafanyakazi wengi wasio na uzoefu hivi kwamba wote wanazunguka - zunguka kama kuku vichwa vyao vikiwa vimekatwa,negative
i ilikuwa na ono zuri ajabu,positive
Makunjo yote mawili ya mayai yalikuwa mazuri ajabu,positive
Hata hivyo baada ya kuona ufupi huo tena baada ya karibu miaka 25 ilishangazwa na jinsi sinema hiyo ilivyo ya kudumu,positive
Sasa chakula hicho kilikuwa kingi sana,positive
hata kuruhusu viwango duni vya uzalishaji kwa wakati huo 1971 na muundo aina fulani ya mfululizo wa mini hii ni mbaya,negative
enyewe safaricom ni wezi,negative
Chui ni wa mwituni sana,positive
Kama nilivyo sema juu ya nafsi isiyo na faida.,negative
angalau fikiria kujaza maji yangu tena kabla ya kung'ang'ana kukupungia mkono kwa dakika 10,negative
Hasa nilichotaka,positive
lazima niseme kwamba filamu hii ilitengenezwa vizuri na hufunika makadirio kama filamu ya kawaida ya sci fi,positive
story za wema husomwa zaidi na kupata comments nyingi kuliko za wengine wote,positive
Huduma ya hali ya chini sana,negative
haipendezi,negative
simu ya juu,positive
nilivutiwa sana na tabia aliyocheza,positive
hakupenda hata kidogo,negative
Mhudumu wa kike alikuwa wa polepole katika utumishi,negative
jioni yenye shughuli nyingi katika mlo wa jioni wakati wa jua kali,positive
Nilivutiwa hasa na uwezo wa dwight schultz,positive
Maneno ya mwisho katika kipindi hiki ni mateso halisi,negative
inafanya kazi ya kui bougth kwa ajili ya l7c wangu na kile kisichofanya kazi,negative
wahusika wana viungo vya ajabu hasa vyenye kutia hofu na vibarafu na waigizaji wote wakiwa na mistari yao ya maandishi yenye ncha kali yenye kiwango kinachofaa cha ulimi uliokufa katika shavu la mdomo ili kufanya mazungumzo yawe yenye kuvutia na halisi,positive
picha nzuri ya samsung,positive
ninapendekeza hizi kwa kuwa zinaonekana nzuri sana kifahari na nzuri,positive
pia muziki na mark snow ndio alama bora kabisa ambayo nimewahi kusikia,positive
Tumefanya kazi nzuri zaidi ya kutayarisha piza karibu na nyumba yetu kuliko zile tulizopokea kutoka kwenye mkahawa huo,negative
wao huwa na mitazamo mibaya kuelekea wateja na kuzungumza na kila mmoja wao wakati wateja hawafurahii chakula chao,negative
"Na bilauri zilizo pangwa,",positive
ni onyesho zuri la kutazama,positive
iliyofaa kwa ps3,positive
Bado ninasisitiza kwamba tumbili hutengeneza vidude vya kusikiliza sauti ambavyo kwa wazi hatushirikina vya kutosha kuiga ubuni huo kwa wanadamu,negative
sinema hii ni janga safi hadithi ni ya kijinga na uhariri ndio mbaya kabisa ambao nimeona unachanganya sana,negative
ilifanya vyema,positive
ni muda mrefu tangu niliburudishwa na sinema,positive
Ninaishi katika mtaa huu kwa sababu ni mahali pazuri pa kuishi hapa,negative
Ningependekeza jambo hili,positive
nimeona sinema nyingi zikimwigia nyota jaclyn smith lakini mungu wangu hii ilikuwa moja bora kwake ingawa ilitoka miaka 12 iliyopita,positive
napenda kifaa hiki,positive
hakuna kitu cha kuaminika juu yake kabisa,negative
Hakika mwangaza bila ya shaka ni mkali!,negative
ni muigizaji wa kiume anayependwa zaidi kwa sasa na filamu zake zimekuwa kivutio kwa watu wengi wa kila rika,positive
lakini askari - jeshi wa dhoruba si mbaya vya kutosha kuweza kufanya sinema mbaya ajabu,negative
dawa hiyo ime nifaa sana nimepata nafuu,positive
jukumu lake lilitimizwa vizuri,positive
Jambo baya hata zaidi alimwaibisha mfanyakazi wake mbele ya majina mabaya sana ya watu,negative
sinema nzuri inamfanya yeye na monica bellucci kuonekana warembo sana,positive
filamu ipokewayo ilikuwa filamu bora sana kwa umri wake,positive
Hii ni simu bora zaidi iliyowahi kupatikana,positive
Wahudumu wa hoteli ni wenye urafiki sana,positive
na hata usinifanye nianze kupiga picha haraka - haraka,negative
wakenya nawapenda sana kutoka tz naombeni like zenu,positive
ubora wa pekee wa mkahawa huo ulikuwa kwamba haukuwa ghali sana,positive
kwa karibu dakika 10 tulikuwa tukingojea saladi yake tulipong'amua kwamba ilikuwa ikifika wakati wowote karibuni,negative
Napenda waya hii huniruhusu kuunganisha kifaa chochote kidogo cha kompyuta hadi kwenye ukurasa wangu,positive
Laiti ungerudi baada ya saa moja na nusu,negative
Hapa ndipo mahali ambapo mimi alikuwa na pho kwa mara ya kwanza na ilikuwa yenye kushangaza,positive
Nilikuwa na huduma ya gari kwa miaka 2 au 3 sasa na ninaifurahia sana,positive
sikio lililo juu ya hili ni kubwa mno au zito mno huteleza kutoka sikioni mwangu,negative
Wakati wa kiangazi unaweza kula ua maridadi la nje lenye kupendeza sana,positive
hadithi hazikuaminika kama waigizaji,negative
int alipendekeza kununua bidhaa hii,negative
huduma ilikuwa meh,negative
kuhariri uhariri wa filamu hii ulikuwa wa kushangaza kwa maoni yangu,positive
ukubwa wa kiwambo ni wa sehemu ya juu iliyo pana iliyo na taa za kutosha na ubora wa kamera ni bora sana kwa simu ya kamera,positive
Endeleza kazi nzuri ya amazon,positive
Basi ni kana kwamba nilipoteza maisha yangu ya kutosha hapo walimwaga chumvi kwenye kidonda kwa kutoa wakati uliochukua kuleta hundi,negative
ilifaa sana kwa kuwa tulikuwa tukiishi kwenye mgm,positive
Ikiwa hakuwa amekunja macho yetu huenda hatukuwa na hakika kama tutarudi na kujaribu tena,negative
Viunganishi vyapasa kuwa na njia fulani ya kubadilishana simu mbaya kwa ajili ya mashine ya kurekebisha au kitu fulani,negative
mara 2 huduma mbaya sana za wateja,negative
kwa kuwa ni mtoto mwenye umri wa miaka 90 tu aliyefurahia sana maonyesho haya na ninaweza kusema kwa fahari kwamba nilifurahia wakati na hata zaidi ya katuni bora,positive
matangazo ni ya kupotosha zaidi,negative
Kuangusha simu yangu mara nyingi zaidi ya vile ninavyoweza kusema hata kwenye saruji na simu yangu bado inagonga sana mbao,positive
bado ninajaribu kupata jinsi ilikuwa mbaya,negative
filamu kubwa ya mkurugenzi mkuu,positive
ni safu ya maarufu kama mchezo wa kuigizauhalifuwauhalifu maonyesho ya ajabu na belmondo na lino ventura,positive
Wafanyakazi wako hutumia wakati mwingi zaidi wakizungumza kuliko mimi,negative
uzi pekee wenye upatano uliounganisha mfululizo huo ulikuwa ni utendaji wenye kustaajabisha wa uwanja wa leni na aita laselva wakati ule mng'ao wawili katika pambano la ukimya la kinadharia,negative
Wanaendelea kupata nafuu na kufanya vizuri zaidi ni ile yangu ya tatu na ilikuwa na michikichi mingi pia,positive
Ni vigumu kuamua ikiwa pande hizo zilikuwa nzuri kwa sababu tulikuwa tumeng'olewa na styrofoam na hatukutaka kuzila kwa sababu ya kuogopa kuwa wagonjwa,negative
Baada ya kulivuta gari langu ingoje kwa dakika nyingine 15 kabla ya kukubaliwa,negative
mandhari bora zaidi katika sinema hiyo ni mwisho lakini ikwayo inaiharibu,positive
Sinema hii hufanya kazi nzuri sana ya kufunua utata wa kazi hiyo na magumu ya ajabu yanayokabili Afrika Kusini,positive
Ilikuwa ni safari ya kufika huko,negative
Nilitaka kipande hicho kipitie juu ya sikio langu kikisababisha usumbufu,negative
kuku huyo alikuwa amekolezwa vizuri sana na alikuwa na karai bora upande wa nje na kuku mwenye unyevu upande wa ndani,positive
Ninafikiria wizi huu,negative
Bali wao wanakakamia tu katika jeuri na chuki.,positive
filamu hii isiyofurahisha kabisa ni ya kiwango cha juu na isiyo halisi hivi kwamba katika muda wote wa dakika 90 za kuteswa kabisa labda nilitazama saa yangu karibu mara 70000,negative
mpitiaji wa ponografia aliiita hiyo filamu kubwa na iliyo sahihi,positive
Bidhaa bora kabisa kwa bei,positive
ondoe simu yangu ya mkononi iliyo bora zaidi ambayo tumepata kuwa nayo,positive
sasa unajua kwanini niliipa 10,positive
lange alikuwa mwigizaji mzuri,positive
Sipendekezi gari lako lisipatwe na njaa,negative
Maono mabaya sana,negative
Ni yenye kuvutia sana na huonekana kuwa bora,positive
ujenzi wa vichwa vya vichwa ni wa hali ya chini,negative
halifanyi kazi kwa kusikiliza muziki kwa sauti ya chini 8125,negative
Paa za plastiki za bei ya chini sana kama sakafu ya mbao iliyozeeka,negative
bekoni ya jalapeno ni mzuri sana,positive
Bidhaa ni bure kwa kuwa haina utozaji wa kutosha kuisimamia simu mbili za mkononi mimi nilikuwa nikipanga kuitumia,negative
anavunjika moyo kidogo,negative
mtandao wa kushangaza wa 4g katika mji wa mombasa pamoja na mipango nzuri sana na ya bei rahisi,positive
Kichwa bora kabisa chenye matumizi mawili,positive
Majaribio ya ucheshi yalikuwa ya kusikitisha na hadithi ni mbaya sana hivi kwamba dubu anapaswa kufikiria ni nini hasa kinahusisha wizi wa ndege wa vulcan ili kutafuta mungu kwa uzito sijali lolote la filamu hii na bila kutaja ihura anacheza dansi ya tumbo kwa ajili ya walinzi wa kiume wanaong'aa,negative
Imejaribiwa vidole kadhaa vya masikio kwa simu yangu ya mkononi na hiki jastra ni chombo cha kwanza kilichopatikana ambacho hutoshea sikio langu vizuri,positive
mapokezi yake ni duni sana,negative
Imetengenezwa vizuri sana na hufaana kabisa na gx2 yangu,positive
safaricom si muache kucheza na mkopo wa nambari yangu tafadhali mnanifilisisha,negative
Sikutambua jinsi mambo hayo mafupi yalivyo ya ajabu hadi mandhari mbili za mwisho,positive
mafunzo yalikuwa makali sana,negative
ishangaze sana kwamba filamu hii ya ajabu ilifanyizwa katika 1949 kwa kuwa kwa ujumla mti hollywood ulikuwa na vichwa vya ujumla kwenye mchanga kuhusu masuala ya nyeusi na meupe wakati huo,positive
azimio la picha liko chini sana ya kile ambacho simu nyingine zenye kulinganishwa zinatoa leo,negative
Usiupotezee huu,negative
Nadhani ilipaswa kuwa mpindo wa werevu kisha ikaangaza nuru fulani juu ya hali hiyo lakini ilikuwa tu ya kipumbavu,negative
Hii ilikuwa filamu yenye kutisha sana hivi kwamba niliinunua kwa kutumia ebay,positive
taco zilizo bora zaidi mjini kwa mbali,positive
shukrani sana,positive
Ni kweli kabisa kutikisika na lazima kuwe na mashabiki wote wanaotetemeka,positive
Ninachukia filamu kama hizo,negative
Hivi karibuni wamekuwa wazuri sana na wenye kusaidia kwenye simu,positive
nimesikitishwa sana kuwa filamu hii itapokea tuzo nyingi na sifa nyingi haswa ikiwa kuna kazi zinazofaa zaidi za filamu huko nje,negative
Baba yangu ana vo265 na betri inakufa,negative
mfuatano wa uwazi angani ulionekana kana kwamba uliumbwa kwenye vishimo vidogo sana kwa ajili ya miungu,negative
Inaonekana ni salama kabisa kushika mshipi wangu na kuweka sauti ya simu ndani,positive
Hilo ni jambo la ubaridi kwa sababu visa vingi huwa wazi tu vikiruhusu kiwambo kijikunacho chote,positive
wakati wimbo ungeweza kueleza hisia - moyo za raia vizuri zaidi kama vile wakati maisha ya jay amadams yalikuwa habari ya kuongea na kijana mmoja aliyeimba wimbo huo ambayo huamsha hisia - moyo nyingi,positive
siwezi kamwe tena,negative
Napenda kutumia kichwa kimoja kwa ajili ya picha za chini na za seli,positive
Hakuna hata moja kati ya zile saizi tatu walizopeleka nikiwa na ncha ya kichwa ambacho kingebaki masikioni mwangu,negative
Nilinunua kofia hii ya rangi ya bluu ambayo ingeweza kutoshea vizuri lakini mambo hayo yalifanya isiwezekane kuvaa,negative
Sielewi jinsi takataka hii ilivyopatikana kwenye rafu za duka la sinema hata si sinema halisi,negative
Huu ndio ufikisho!,positive
Kujaribu kuwatembelea watu hao ni mazoezi ya kufadhaika,negative
Hicho kisa ni kipande dhaifu cha plastiki na hakina ulinzi wowote wa mbele au wa kando,negative
Ni vigumu sana kusikia na sikuzote ninasema nini,negative
Nimeona sinema nyingi zinazoigiza ufuaji wa jaclyn lakini mungu wangu huyu alikuwa mmojawapo wa filamu bora zaidi ingawa ilitoka miaka 12 iliyopita,positive
sinema hii si kamilifu kabisa lakini titta di girolamo atakaa nawe kwa muda mrefu baada ya kuona sinema,positive
siku zote nilikuwa najua kuwa errol flynn alikuwa muigizaji mzuri kama yeye alikuwa mwigizaji wa baba yangu anayependa sana na nilikua nikitazama sinema zake nikiwa mtoto,positive
piza na saladi nyingi,positive
simu ya juu,positive
Wazo lenye kupendeza na lisilo la kawaida ni kama mfuko hatari wa kokwa ambao nyakati zote ni kama taarifa ya mapenzi ya kumuona hengo mchattie na fumo hendrikson huku akizungumza kwa sauti kubwa juu ya shavu la kichwa,positive
"Na akaliwafiki lilio jema,",positive
kwanza kabisa kuna mitindo ya kichekesho ya kutosha na utani wa rangi ili kumkasirisha kila mtu,negative
hii ilikuwa moja ya filamu mbaya kabisa ambayo nimewahi kuona,negative
nilipenda alivyokuwa akicheka,positive
Nilitoka kwenye jumba la maonyesho nikiwa na lilti katika shangwe yangu ya hatua kwa hatua moyoni mwangu na kutumaini kwa ajili ya jamii ya kibinadamu,positive
Ni kana kwamba ni ubuni na sura ya jabra akipigapiga vichwa vya masikio na 5020 ni nzuri sana kuweza kuvaa muda wa saa 24 kwa siku bila maumivu katika sikio,positive
Mfano huu umetayarishwa vizuri,positive
Pia sufuria ilikuwa nzuri na kubwa sana kwa sababu hiyo,positive
Kusema bila sababu natumia vibaya pesa zangu,negative
Mkate wote unatengenezwa ndani ya nyumba,positive
Niliipenda sana ilikuwa yenye kuogopesha sana,positive
"Kwa ujumla, haikuwa na uwezo wa kuwazia",negative
Unahitaji angalau min 3 ili upate kitabu chako cha simu kuanzia unapofungua kwa mara ya kwanza maisha ya simu ni mafupi,negative
najuta,negative
Ni nyepesi kuwa na uwezo mwingi wa betri na inaweza kuchakaa kwa muda mrefu,positive
Naweka okski za karibuni zaidi juu yake v115g na sasa hupenda kupunguza mwendo wa kutambaa na kufunga kila mara kwa muda,negative
kikanyagio cha faili chatoa chaguo lote ambalo mtu ahitaji bila malipo ni kubwa,positive
mtu aliyesema kuwa hes alikuwa na mazungumzo mazuri zaidi na mimea yake yenye madoa ana haki ya kufanya hivyo,negative
Sasa mboji hao wana ladha nzuri kama piza ambayo zamani ilikuwa yenye kustaajabisha ni laini na haina ladha yoyote,negative
Ninasubiri kurudi,positive
lina kila kitu ninachohitaji na mimi naweza kuomba kupata zaidi,positive
jumia sio mwaminifu hata kidogo,negative
wahusika wanavutia na unataka kujua zaidi juu yao sinema inavyoendelea na nadhani watu watashangazwa na ni nani anayeweza na asiyeweza,positive
Zote zikiwa na filamu maridadi kutoka nicolas roglag bora,positive
halifai,negative
kwa kweli wanataka kufanya uzoefu wako uwe mzuri,positive
"Pamoja na sinema hizo, ni kiasi kidogo sana cha pesa na muda mfupi tu ambao sinema hufanya kazi ya ajabu",positive
hakuna kiwango au habari,negative
rahisi kutumia,positive
kile kilicho duniani ni chuma kinachofanya kazi katika filamu hii,negative
Hata mnyoo wa bipani ukiinuka juu ya maandishi yaliyokuwa mabaya zaidi,negative
faraja kwa familia yetu yote,positive
Kipande cha sikio chavunjika kwa urahisi,negative
utumishi ulikuwa wa polepole na haukukaza fikira,negative
hii ni moja ya washambuliaji bora wa italia wa miaka ya mapema ya 70,positive
Yote hayo yakiwatukana watu wenye akili na kupoteza pesa kwa kiasi kikubwa,negative
Nilikiona kama mtoto kule nyuma mwaka wa 1973 wakati alipokuwa mgeni na nilikipenda,positive
Nyota tano pamoja na,positive
ilikuwa mbaya sana.,negative
Kwa muda wa majuma machache tu nilikuwa na rangi ya buluu lakini ninaipenda sana,positive
kwani hauoni,negative
nzi alikuwa katika maji ya matunda ya tofaa,negative
"Lakini si kitu kingine ila mwayo mmoja tu,",negative
Mara ya kwanza kwenda lakini ninafikiri nia yangu itakuwa ya kawaida,positive
bila kusema nilipoteza pesa zangu,negative
muda mrefu tangu nilipotumbuizwa sana na sinema,positive
Nimewahi kwenda mahali pachache sana ili kula ambapo hakuna hali ambayo ingeweza kurudia na hii ndiyo sehemu ya juu kabisa ya orodha,negative
sinema haina upendeleo wa kuona mchezo wa kuigiza usemi wa hisia na maadhimisho ya uzalendo ambao unasisitiza hadithi hiyo,negative
baada ya chakula cha jioni kilichokuwa kikitukatisha tamaa tulienda mahali pengine kwa ajili ya kitindamlo,negative
Nikapata msimamizi wa gari na hata baada ya juma moja shtaka hilo liliingia ndani na kuanza kuvuta sigara,negative
Msile hapa!,negative
Teknolojia ya soyoy hunyonya,negative
huo ni dosari kubwa ya kubuni,negative
kura bora zaidi mjini kwa bei ambayo huwezi kuipiga,positive
sio nzuri,negative
"Ikiwa wote wawili wangepasuliwa kwa meta tano tu, tulianza kuona tuli na kuvalishwa sauti kutoka kwenye sehemu ya kichwa",negative
Mahali hapa pana uwezekano mkubwa wa chakula kilichokuzwa kupita kiasi,negative
Mpango huo hauning'inia pamoja hata kidogo na tendo hilo linahuzunisha sana,negative
kesi hiyo ni kubwa na inafanya kazi vizuri kwa wale 680,positive
"Ama ajionaye hana haja,",negative
"Na bilauri zilizo jaa,",negative
